expected obtained
a m
a a
a a
a a
a m
a o
a a
a a
a n
a n
a g
a a
a a
a a
a a
a a
a n
a a
a o
a g
a n
a a
d d
d o
d d
d d
d d
d a
d d
d d
d d
d d
d d
d d
d d
d d
d d
d d
d d
d g
d g
d d
d o
d d
g g
g n
g o
g g
g g
g g
g g
g g
g g
g g
g g
g g
g g
g g
g g
g g
g g
g g
g o
g g
g m
g n
g g
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i i
i d
i i
i d
m n
m m
m m
m n
m m
m m
m m
m m
m a
m m
m m
m m
m d
m m
m n
m m
m m
m m
m m
m m
m m
m m
m n
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m a
m n
m a
m m
m m
m m
m m
o o
o o
o o
o o
o g
o o
o o
o m
o o
o o
o o
o o
o o
o o
o o
o o
o o
o o
o g
o o
o o
o o
o g
n n
n n
n m
n d
n n
n a
n n
n n
n n
n n
n m
n n
n n
n n
n a
n n
n n
n n
n n
n d
n m
n n
n m
n n
n n
n n
n d
n n
n n
n m
n n
n n
n n
n m
n n
n d
n n
n o
n n
n n
n j
n d
n n
n n
accuracy :  75.0 count 150
